subject,courseNumber,courseTitle,description
ANTH,127S,POLITICAL ANTHROPOLOGY,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. Prerequisite(s): ANTH 001 or ANTH 001H or ANTH 001W or consent of instructor. Examines different overt and covert means by which power and social differentiation are produced, perpetuated, and challenged in societies across the world. Studies the politics of culture, ethnicity, nationalism, and gender. Credit is awarded for only one of ANTH 127 or ANTH 127S."
ANTH,140G,ANTHROPLGCL PERSPCTVS IN AFRIC,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior. Examines a number of African cultures using anthropological perspectives on subsistence patterns, social organization, and religious systems. Addresses the treatment of these cultures following a brief overview of the geography, history, and linguistic patterns of Africa."
ANTH,144E,CULTURE AND MEDICINE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): ANTH 001 or ANTH 001H or ANTH 001W or ANTH 020 or ANTH 020S;  restricted to class level standing of junior, or  senior;  or consent of instructor. Explores the interrelations of health, illness, and culture. Addresses cross-cultural comparisons of health and healing and the effects of cultural systems on health and illness. Examines a diversity of societies and their belief systems and the effects of cultural change (historical and modern) on health and wellbeing."
ANTH,144N,ANTHROPOLOGY OF GLOBAL HEALTH,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. Examines the overlaps, debates, and potential of medical anthropology to address contemporary issues in global health. Focuses on how the historical development, theoretical frameworks, methodological approaches, and ethical debates within medical anthropology can contribute to a just and inclusive version of global health."
ANTH,153,EVOLUTION OF THE GENUS HOMO,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 002 or consent of instructor. Explores human evolution in the last two million years; examines the fossil record and incorporates data from archaeology and genetics. Topics include origins of genus Homo, world-wide dispersals, Neanderthals, and origins of modern humans."
ANTH,165G,METHODS IN CULTURAL ANTHROPOLOGY,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): ANTH 001 with a grade of C- or better. Introduces research methods used by cultural anthropologists. Examines the research process from identifying research problems, to selecting research methods, developing research strategies, collecting and analyzing data, and reporting research findings. Methods and topics covered include participant observation, writing fieldnotes, interviews and surveys, qualitative and quantitative data analysis, and research ethics. Methods In Cultural Anthropology"
ANTH,190,SPECIAL STUDIES,"1 to 5 Units, variable hours. Prerequisite(s): consent of instructor. Independent study and research by qualified undergraduate students under supervision of a particular faculty member. With consent of instructor, may be repeated without duplication of credit."
ANTH,195B,SENIOR THESIS,"4 Units, Optional for anthropology majors; open to senior students having a ""B"" average in their major, with consent of instructor. Graded In Progress (IP) until ANTH 195A, ANTH 195B, and ANTH 195C are completed, at which time a final grade is assigned."
ANTH,195C,SENIOR THESIS,"4 Units, Optional for anthropology majors; open to senior students having a ""B"" average in their major, with consent of instructor."
ANTH,198I,INTERNSHIP IN ANTHROPOLOGY,"1 to 12 Units, Field Research, 1 hour to 16 hours. Prerequisite(s): consent of instructor. Systematic participation by an individual in studies associated with future career(s) development within the context of an anthropological research project directed by a faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 16 units towards graduation."
ANTH,199H,SENIOR HONORS RESEARCH,"1 to 5 Units, Research, variable hours. Independent work under the direction of members of the staff. With consent of instructor, may be repeated without duplication of credit."
ANTH,200B,CORE THEORY IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing, ANTH 200A; or consent of instructor. Examines the foundational theories of anthropology and how these inform current discussions about diversity; inequality; language; power; knowledge systems; and their intersections in the four subfields."
ANTH,210A,DESCRIPTION AND INFERENCE IN ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 1 hour; individual study, 1 hour; extra reading, 1 hour. Prerequisite(s): graduate standing or consent of instructor. An examination of the modes of defining concepts and relations, developing and framing theories, and relating data to theory in anthropology; analysis of representative attempts to describe and explain behavior; and practice in carrying out simple analyses."
ANTH,252,SEMINAR IN ARCHAEOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Studies in culture history and in the data and methods of archaeological research. Course is repeatable."
ANTH,253,SEMINAR IN PHYSICAL ANTHROPOLOGY,"4 Units, Seminar, 3 hours, research 3 hours. Prerequisite(s): graduate standing or consent of instructor. Selected topics in the analysis of human variation and evolution, the structure of human populations, and the biocultural environments of humans. Course is repeatable."
ANTH,262,SEMINAR IN MEDICAL ANTHROPOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Surveys major topics in medical anthropology. Examines the theoretical and methodological underpinnings of medical anthropology, including the cultural construction of health and disease, the nature of the therapeutic process, and how social structures contribute to inequality and suffering."
ANTH,290,DIRECTED STUDIES,"1 to 6 Units, Independent study by graduate students under supervision of a particular faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ANTH,291,INDIVIDUAL STUDIES IN COORDINATED AREAS,"1 to 6 Units, Prerequisite(s): graduate standing. A program of study designed to advise and assist candidates who are preparing for doctoral examination. The following rules apply: 1) a student may take up to 12 units for the Basic Requirements; 2) a student may take up to 8 units for the Comprehensive Requirements. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ANTH,292,CONCURRENT ANALYTICAL STUDIES IN ANTHROPOLOGY,"1 to 4 Units, Each ANTH 292 course will be taken concurrently with some 100-series course, but on an individual basis. It will be devoted to completion of a graduate paper based on research or criticism related to the 100-series course. Faculty guidance and evaluation will be provided throughout the quarter. Satisfactory (S) or No Credit (NC) grading is not available. Course is repeatable."
ANTH,297,DIRECTED RESEARCH,"1 to 6 Units, Individual research by graduate students directed by a particular faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ANTH,299,RESEARCH FOR THESIS OR DISSERTATION,"1 to 12 Units, Field training and directed research in preparation for and completion of doctoral dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ANTH,302,TEACHING PRACTICUM,"1 to 4 Units, Prerequisite(s): limited to departmental teaching assistants; graduate standing, ANTH 301, or consent of instructor. Supervised teaching in upper- and lower- division Anthropology courses. Required of all teaching assistants. Fulfills teaching portion of Ph.D. teaching requirement. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit."
ARBC,001,ELEMENTARY ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): Student must take the Arabic placement examination.  An introduction to modern standard Arabic. Focuses on the development of the four language skills: listening, speaking, reading, and writing. Also explores aspects of Arabic cultures.  Classes conducted primarily in Arabic."
ARBC,002,ELEMENTARY ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): ARBC 001 with a grade of ""C-"" or better or equivalent or a sufficiently high test score on the Arabic placement examination as determined by the department faculty. An introduction to modern standard Arabic. Focuses on the development of the four language skills:  listening, speaking, reading, and writing. Also explores aspects of Arabic cultures. Classes conducted primarily in Arabic."
ARBC,004,INTERMEDIATE ARABIC,"4 Units, Lecture, 4 hours.  Prerequisite(s): ARBC 003 with a grade of ""C-"" or better or equivalent or a sufficiently high test score on the Arabic placement examination as determined by the department faculty. An introduction to intermediate modern standard Arabic. Builds upon current knowledge levels of grammar and vocabulary to gain greater fluency and accuracy in listening, speaking, reading, and writing. Classes conducted in Arabic."
ARBC,110,ADVANCED READINGS IN ARABIC,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): ARBC 006 or consent of instructor. Advanced seminar in the reading of Arabic texts. Focuses on improving students' reading skills while reviewing and deepening knowledge of Arabic grammar and vocabulary. Course is repeatable as content changes up to a maximum of 12 units."
ART,001,BEGINNING DRAWING AND DESIGN,"4 Units, Lecture, 2 hours; studio, 4 hours. Introduction to the materials, techniques, structure, and expressive properties of drawing and design. Must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART,002,BEGINNING PAINTING AND DESIGN,"4 Units, Lecture, 2 hours; studio, 4 hours. Introductory course in the media, techniques, structural, and expressive properties of painting and design.  Must attend the first day of class for studio orientation and instruction to avoid being dropped from the class."
ART,003,INTRODUCTION TO PHOTOGRAPHIC PROCESSES,"5 Units, Lecture, 3 hours; studio, 4 hours. Introduction to basic principles of photography as fine art. Addresses a range of technological approaches to digital image capture and printing. Explores historical and contemporary approaches to creating meaningful photographs. Must attend the first day of class; see Schedule Notes for Attendance Policy."
ART,005,BEGINNING SCULPTURE AND THREE-DIMENSIONAL DESIGN,"4 Units, Lecture, 3 hours; studio, 3 hours. An introduction to tools and assembly techniques working with wood, plaster, metal, and found objects. Provides an understanding of 3D qualities including volume, surface, and scale as well as an overview of twentieth-century art movements and contemporary sculpture strategies. See Schedule Notes for Attendance Policy."
ART,010,INTRODUCTION TO VIDEO AND TIME-BASED EXPERIMENTATION,"4 Units, Lecture, 3 hours; studio, 3 hours. Prerequisite(s): none. Introduction to time-based media including video, sound, performance, and installation as studio art practice. Builds aesthetic, conceptual, and technical skills for the creation of video and time-based works. Addresses work of contemporary artists and issues. Emphasizes experimental practical techniques. Must attend the first day; see Schedule Notes for attendance policy."
ART,032,ART STUDIO ONE,"4 Units, Lecture, 3 hours; studio, 3 hours. Prerequisite(s):  Restricted to major(s) Art (Studio). Introduces art majors to the importance of interdisciplinary work. Includes independent projects, critical analysis in a group critique situation, exhibition preparation, and considerations of presentation of their work through written and spoken language. Prepares art majors for upper division coursework."
ART,066,INTRODUCTION TO THREE-DIMENSIONAL DIGITAL MODELING,"4 Units, Lecture, 3 hours; laboratory, 3 hours; individual study, 2 hours. Prerequisite(s): none. Covers basic skills necessary to create three-dimensional digital images and models. Emphasizes techniques for polygon and curved-surface modeling and photorealistic image creation through material shading, texturing, and lighting. Introduces basic scripting methods to create complex models and images with Autodesk Maya or equivalent."
ART,102,INTERMEDIATE DRAWING,"4 Units, Lecture, 2, hours; studio, 4 hours. Prerequisite(s): ART 001 and ART 002 or equivalent and consent of instructor. An intermediate course of study. Subject: primarily still life, landscape and non-figurative images. Purpose: a fuller understanding of the technical and expressive aspects of drawing. Studio exercises and in-studio lectures. Course is repeatable to a maximum of 8 units with consent of instructor."
ART,115,INTERMEDIATE SCULPTURE,"4 Units, Lecture, 3 hours; studio 3 hours. Prerequisite(s): ART 005. Develops the necessary critical and imaginative faculties for making sculpture. Through project assignments, students explore associations between materials, forms, and context to construct or deconstruct ideas. Audiovisual presentations, readings, and group critiques survey twentieth-century modern sculpture and more recent practices. Examines the artist's role in the cultural landscape of spectacle and entertainment. Course is repeatable to a maximum of 12 units."
ART,131,INTERMEDIATE PHOTOGRAPHY AND DIGITAL TECHNOLOGY,"4 Units, Lecture, 3 hours; laboratory, 4 hours. Prerequisite(s): ART 003 or consent of instructor. Covers the complete cycle of photographic production from scanning to output. Emphasizes developing skill in creating digital photographic imagery for creative and cultural expression. Software and some digital equipment are provided. A 35mm single lens reflex (SLR) or digital cameras and flash drives are required. Course is repeatable to a maximum of 8 units. Cross-listed with MCS 131."
ART,132,ART STUDIO TWO,"4 Units, Lecture, 3 hours; studio, 3 hours. Prerequisite(s): ART 006/MCS 006, ART 032, upper-division standing in Art; or consent of instructor. Prepares junior Art majors for their senior course work. Emphasizes interdisciplinary work, independent projects, critical analysis in a group critique situation, exhibition preparation, and writing a preliminary artist statement. Letter Grade only."
ART,150,INTERMEDIATE MOVING IMAGES: FILM VIDEO AND NEW MEDIA,"5 Units, Lecture, 3 hours; studio, 3 hours; screening, 3 hours. Prerequisite(s): ART 004/MCS 004. Examines the moving image through installation, documentary, experimental film, video art, sound art, and performance. Builds upon production and editing concepts introduced in ART 004/MCS 004. Explores issues and skills of video/film/media art based in production, history, and theory of the moving image. Covers editing theory, lighting, and sound editing. 
Course is repeatable to a maximum of 10 units. Cross-listed with MCS 150."
ART,160,INTERMEDIATE ART THEORY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): ART 006/MCS 006. Addresses current critical and theoretical issues in modern and contemporary culture. Examines art production in light of contemporary and modernist art practice, theory, and history in relation to the interpretation and creation of art. Focuses on issues of race, gender, politics, aesthetics, class, and sexuality."
ART,161,SUBURBIA,"4 Units, Seminar, 3 hours; activity, 3 hours. Prerequisite(s): MCS 001 with a grade of C- or better or ART 160 with a grade of C- or better;  restricted to class level standing of junior, or  senior;  or consent of instructor. Advanced topics in contemporary art theory and criticism. Examines the reception, analysis, and theoretical underpinning of works of art in relation to contemporary and historical issues in the visual arts.   Course is repeatable to a maximum of 12 units.  Cross-listed with MCS 163."
ART,180,CONTEMPORARY ISSUES AND PRACTICE,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): any lower-division studio art course. A course structured around a sequence of three to six visiting artists, authors, and critics. Visitor presentations will be augmented by relevant articles and in-class presentations. Students generate written and oral responses to specific artists and topics. Artists and topics to be determined by the instructor. Course is repeatable to a maximum of 12 units."
ART,240,CURRENT TOPICS IN CRITICAL THEORY,"4 Units, Seminar, 3 hours, extra reading, 3 hours; research, 2 to 3 hours. Prerequisite(s): graduate standing; ART 006/MCS 006 and ART 160 or equivalents or consent of instructor. Selected theoretical systems as applied to modern, postmodern, and post-postmodern art. Course is repeatable to a maximum of 12 units."
ART,290,DIRECTED STUDIES,"1 to 6 Units, Individual Study, 3 to 18 hours; studio, 3 to 6 hours. Prerequisite(s): graduate standing; consent of instructor and graduate advisor. Individual study of selected topics directed by a faculty member. Course is repeatable."
ART,292,CONCURRENT STUDIES IN ART,"1 to 4 Units, Research, 3 to 12 hours. Prerequisite(s): graduate standing; consent of instructor. Taken concurrently with a 100-series course but on an individual basis.  Involves research, critique, studio production, or written work commensurate with the number of units elected.
 Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ART,293,DIRECTED INDIVIDUAL STUDIO PRODUCTION,"1 to 4 Units, Studio, 3 to 12 hours. Prerequisite(s): graduate standing; consent of instructor; graduate advisor. Independent study with faculty member to evaluate artwork, assess progress and provide criticism. Topics may include historical precedents, theoretical readings and consultation on production or presentation of artworks. Course is repeatable."
ART,299,RESEARCH FOR THESIS,"1 to 4 Units, Research, 1 to 6 hours; studio, 3 to 6 hours. Prerequisite(s): graduate standing; consent of instructor and graduate advisor; satisfactory completion of 28 graduate units in the Masters of Fine Arts program. Individual research with faculty advisor in preparation for comprehensive exhibition for the degree. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ART,302,TEACHING PRACTICUM,"1 to 4 Units, Practicum, 2 to 8 hours; consultation, 1 to 4 hours. Prerequisite(s): graduate standing. Provides supervision of teaching in undergraduate Art courses. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
AHS,017A,HISTORY OF WESTERN ART: PREHISTORIC TO BYZANTINE,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Prerequisite(s): none. A survey of the visual arts of the ancient Near East and Egypt, the Greek world, and the Roman and Byzantine empires. Topics include the growth of urbanism, art as an expression of religious and political beliefs, and cultural contact as a source of artistic change. Credit is awarded for only one of AHS 017A or AHS 17HA."
AHS,023,INTRODUCTION TO AMERICAN ART,"4 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. Surveys the art and visual culture of North America (primarily in the United States) from the first European contact to the present. Emphasizes visual representation as means for cultural encounter; the construction of race, class and gender; and the relationship between art, nation, and identity."
AHS,028,ART AND ARCHITECTURE OF LATIN AMERICA,"4 Units, Lecture, 3 hours; discussion, 1 hour; individual study, 2 hours.  Introduces Latin American art and architecture from the European conquest to the present. Topics include religious and secular art and architecture; hybridization of indigenous and imported styles; national styles after independence; Mexican murals; women artists; Latin American modernismo; and Chicano and Border art. Cross-listed with LNS T028."
AHS,030,ROME: THE ANCIENT CITY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): none. Traces the development of the city of ancient Rome. Studies the literary and historical evidence alongside the physical remains of the city including its monuments, art, and historical and archaeological remains. Seeks to introduce the Romans and their importance for later ages.     Cross-listed with CLA 017, and HIST 027."
AHS,124,CONCEPTUAL ART IN LATIN AMERICA,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Considers conceptual art made across Latin America, from 1960s to present. Focuses on subversive strategies artists developed to critique military dictatorships then in power, while circumventing legalized censorship. Considers localized versions of conceptual art in Santiago, Buenos Aires, Rio de Janeiro, Havana, Mexico City, and situate them within international movement. Cross-listed with LNST 124."
AHS,125,ILLUSTRATIONS AND ILLUMINATIONS: THE ARTS OF THE BOOK IN THE ISLAMIC WORLD,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s):  restricted to class level standing of sophomore, junior, or  senior;  or consent of instructor. Introduction to manuscript production in the Islamic world from simple Qur'ans to opulent manuscripts illustrating Persian literature. Explores the centrality of manuscripts in Islamic artistic culture. Topics include calligraphy, painting styles, patronage,  workshop organization, the production of knowledge, conceptions of the artist, and the relationship between word and image."
AHS,158,SELF-PORTRAITS:  RENAISSANCE TO CONTEMPORARY ART,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior or senior standing; or consent of instructor. Introduces the history, theory, and practice of self-portraiture in Western art, from its beginnings in Antiquity to contemporary works. Discusses concepts of identity, 'self-fashioning', and artistic thinking chronologically. Introduces major works of art and important interpretations/methods of art history."
AHS,182,VISUAL ART AND VISUAL THEORY AFTER 1945,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): sophomore, junior, or senior standing; or consent of instructor. Examines visual art since 1945 primarily from Europe and the United States.  Traces developments in all media within a historical and theoretical context. Focuses on the rise of postmodernism, analyzing work in relation to theories of representation and cultural identity."
AHS,192,JUNIOR AND SENIOR SEMINAR IN ART HISTORY,"4 Units, Seminar, 3 hours; individual study, 3 hours. Prerequisite(s): upper-division standing in Art History or Art History Administrative Studies. Critical study of selected topics in the history of art and its methods. Topics vary. Course is repeatable to a maximum of 12 units."
AHS,251B,PROSEMINAR IN METHODOLOGY,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. An introduction to current methodologies of art history. Covers the models and approaches in art history and cognate disciplines. Includes instruction in writing the methodological component of a grant application as an element of professional training."
AHS,284,SEMINAR IN CONTEMPORARY ART AND THEORY,"4 Units, Seminar, 3 hours; individual study, 3 hours; research paper, 1 hour. Prerequisite(s): graduate standing or consent of instructor. Studies of selected topics in contemporary art, photography, and related media, with an emphasis on critical theories of representation and issues of practice. Course is repeatable."
AHS,292,CONCURRENT ANALYTICAL STUDIES,"1 to 4 Units, Research, 3 hours to 12 hours. Prerequisite(s): graduate standing and consent of instructor. To be taken concurrently with a 100-series course, but on an individual basis. It will be devoted to research, criticism, and written work of graduate order commensurate with the number of units elected. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit."
AHS,297,DIRECTED RESEARCH,"1 to 6 Units, Research, variable hours. Prerequisite(s): consent of instructor, completion of language requirement, and one seminar. Research study or exploratory work toward the development of the thesis. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
AHS,299,RESEARCH FOR THESIS OR DISSERTATION,"1 to 12 Units, Thesis, 3 to 36 hours, variable hours. Prerequisite(s): consent of instructor, completion of language requirement, and one seminar. Thesis or Dissertation research and writing. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
AST,022,INTRODUCTION TO JAPANESE FILM,"4 Units, Lecture, 3 hours; discussion, 1 hour; screening, 2 hours. An introduction to major genres, styles, and creators in the Japanese film world. Focuses on formal analysis and critical writing about film. Works studied range from the samurai epics of Kurosawa to recent anime. All films have subtitles. No previous knowledge of Japanese language or culture required.     Cross-listed with JPN 022, and MCS 022."
AST,046,RESPONSES TO POLITICAL REPRESSION IN MODERN CHINESE LITERATURE AND FILM,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): none. An examination of the various responses to political repression in China during the second half of the twentieth century through selected literary and artistic representations.     Cross-listed with CHN 046, and CPLT 042.  Credit is awarded for one of the following CHN 046,  AST 046,  CPLT 042,  AST 046W,  CHN 046W, or CPLT 042W."
AST,048,CHINESE CINEMA,"4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s): none. A study of selected films from China and Taiwan focusing on cultural context. Includes what to look for in these films; the interrelations with theater, photography, and literature; and how these films are understood as an art form.     Cross-listed with CHN 048, CPLT 048, and MCS 048."
AST,064,INTRODUCTION TO VIETNAMESE AND DIASPORIC FILM CULTURE,"4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s): none. Engages in critical viewing strategies and analytical visual critique. Explores the revival of film production in Vietnam following the Vietnam War, with a focus on the means of production, state control, and international distribution. Readings are in translation; classes conducted in English. Cross-listed with VNM 064, MCS 049, and SEAS 064."
AST,090,SPECIAL STUDIES,"1 to 5 Units, Individual Study, 3 to 15 hours. To be taken with the consent of the Chair of the Program as a means of meeting special curricular problems. Course is repeatable."
AST,150,IN WOMEN&#39;S HANDS: READING JAPANESE WOMEN WRITERS,"4 Units, Lecture, 3 hours; term paper, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. Examines major works of Japanese women writers from Heian (ninth century) to contemporary, focusing on themes, genres, representations of gender, ideas of love and romance, and feminine aesthetics. Readings include fiction, poetry, essays, and drama, with the main emphasis on fictional writing. Classes are conducted in English. Cross-listed with JPN 150."
AST,168,JAVANESE GAMELAN ENSEMBLE: BEGINNING,"2 Units,  Studio, 6 hours. Prerequisite(s): upper-division standing and consent of instructor. Study and performance of the Central Javanese gamelan, consisting mainly of gongs and gong-chime instruments. Readings and discussions focus on Javanese culture. Course is repeatable. Cross-listed with MUS 168 and SEAS 168."
AST,169,TAIKO ENSEMBLE,"1 Unit, Studio, 2 hours. Prerequisite(s): upper-division standing or consent of instructor Study and performance of Japanese drumming. Normally graded Satisfactory (S) or No Credit (NC), but students may petition the instructor for a letter grade on the basis of assigned extra work or examination. Course is repeatable.. Cross-listed with MUS 169."
AST,170,RONDALLA ENSEMBLE,"1 to 2 Units, Studio, 2 to 4 hours. Prerequisite(s): upper-division standing or consent of instructor. Study and performance of the Filipino rondalla, an ensemble consisting of various sizes of lure-like and guitar-like instruments. Discussions focus on Filipino culture. Cross-listed with MUS 170 and SEAS 170. Course is repeatable."
AST,190,SPECIAL STUDIES,"1 to 5 Units, Individual Study, 3 to 15 hours. Prerequisite(s): upper-division standing or consent of instructor. To be taken with the consent of the Chair of the Program as a means of meeting special curricular problems. Course is repeatable."
AST,195,CAPSTONE SENIOR THESIS,"1 to 4 Units, Thesis, 3 to 12 hours. Prerequisite(s): senior standing. Thesis composition under the guidance of Asian Studies faculty.  Required for all Asian Studies majors. Course is repeatable to a maximum of 8 units."
BSWT,003,BASIC WRITING FOR SECOND-LANGUAGE STUDENTS,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): an appropriate score on the University of California Analytical Writing Placement Exam or a Satisfactory (S) grade in BSWT 001; concurrent enrollment in BSWT 003D or BSWT 003L and BSWT 004. An introductory course designed for students who need instruction in English as a second language.  Helps to develop writing proficiency by means of regular written assignments and intensive individual interaction between student and instructor. Students who pass the course with a grade of ""S"" should enroll in ENGL 004. Students should be formally enrolled prior to the beginning of instruction and should attend the first meeting to avoid being dropped from the class. Graded Satisfactory (S) or No Credit (NC)."
BSWT,003L,BASIC WRITING FOR SECOND-LANGUAGE STUDENTS,"1 Unit, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in BSWT 003 and BSWT 004. Focuses on mastery of principles and applications of English grammar and idiomatic expression, as well as critical reading, which are pertinent to second-language students. Graded Satisfactory (S) or No Credit (NC). Course is repeatable as content changes to a maximum of 3 units."
BSWT,004,BASIC WRITING JOURNAL WORKSHOP,"1 Unit, Activity, 3 hours. Prerequisite(s): concurrent enrollment in BSWT 003 and BSWT 003L.  Instruction in and performance of oral discourse: summaries, analyses, and original arguments. Graded Satisfactory (S) or No Credit (NC). Course is repeatable as content changes to a maximum of 3 units."
BCH,015,INTRODUCTION BIOCHEMISTRY LABORATORY,"3 Units, Lecture, 1 hour; discussion, 1 hour; laboratory, 3 hours. Prerequisite(s): CHEM 008A and CHEM 08LA or CHEM 08HA and CHEM 08HLA with grade of ""C-"" or better (CHEM 008A and CHEM 08LA or CHEM 08HA and CHEM 08HLA may be taken concurrently); or consent of instructor. Introduces basic biochemistry wet laboratory techniques for biological samples. Includes micropipetting, volumetric relationships, dilutions, pH measurement, buffer preparation, spectrophotometry, gel permeation chromatography, and ion-exchange chromatography. Explores the use of molecular graphics for investigation of macromolecular structure-function relationships."
BCH,096,INTRODUCTION TO HUMANITARIAN AND HEALTHCARE SERVICE,"1 Unit, Lecture, 8 hours per quarter; consultation, 2 hours per quarter. Prerequisite(s): a major in Biochemistry with an emphasis in Medical Sciences. Acquaints students with opportunities for volunteer activities in the humanitarian and healthcare arenas in southern California.  Provides students with the opportunity to validate their commitment to a career in the healthcare arena.  Requires a term paper. Graded Satisfactory (S) or No Credit (NC)."
